DateTime,COM port,Rshunt,V1,V2,V3,V4,Current,Flag level,Flag message
07/13/2022 13:58:56.143,COM6,1.0,0.00165,-0.00362,0.00135,0.00159,-0.00362,TRIGGER,Current readings outside acceptable levels.
07/13/2022 13:58:57.639,COM6,1.0,0.00164,-0.00266,0.0012,0.00145,-0.00266,TRIGGER,Current readings outside acceptable levels.
07/13/2022 13:58:59.136,COM6,1.0,0.00088,-0.00307,0.00104,0.00139,-0.00307,TRIGGER,Current readings outside acceptable levels.
07/13/2022 13:59:00.635,COM6,1.0,0.00139,-0.00303,0.00091,0.00148,-0.00303,TRIGGER,Current readings outside acceptable levels.
07/13/2022 13:59:02.133,COM6,1.0,0.00156,-0.00284,0.00141,0.00156,-0.00284,TRIGGER,Current readings outside acceptable levels.
07/13/2022 13:59:03.642,COM6,1.0,0.00114,-0.00309,0.00151,0.00197,-0.00309,TRIGGER,Current readings outside acceptable levels.
07/13/2022 13:59:05.131,COM6,1.0,0.00144,-0.00298,0.00103,0.00103,-0.00298,TRIGGER,Current readings outside acceptable levels.
07/13/2022 13:59:06.639,COM6,1.0,0.0016,-0.00297,0.00111,0.00149,-0.00297,TRIGGER,Current readings outside acceptable levels.
07/13/2022 13:59:08.142,COM6,1.0,0.00096,-0.00296,0.00045,0.00195,-0.00296,TRIGGER,Current readings outside acceptable levels.
07/13/2022 13:59:09.638,COM6,1.0,0.00178,-0.00215,0.00076,0.00203,-0.00215,TRIGGER,Current readings outside acceptable levels.
07/13/2022 13:59:11.142,COM6,1.0,0.00115,-0.00227,0.00069,0.00216,-0.00227,TRIGGER,Current readings outside acceptable levels.
07/13/2022 13:59:12.632,COM6,1.0,0.00096,-0.0029,0.00089,0.00197,-0.0029,TRIGGER,Current readings outside acceptable levels.
07/13/2022 13:59:14.137,COM6,1.0,0.00123,-0.00317,0.00068,0.00146,-0.00317,TRIGGER,Current readings outside acceptable levels.
07/13/2022 13:59:15.644,COM6,1.0,0.0012,-0.00209,0.00074,0.00202,-0.00209,TRIGGER,Current readings outside acceptable levels.
07/13/2022 13:59:17.132,COM6,1.0,0.00112,-0.0024,0.00067,0.00231,-0.0024,TRIGGER,Current readings outside acceptable levels.
07/13/2022 13:59:18.635,COM6,1.0,0.00101,-0.00253,0.00025,0.00169,-0.00253,TRIGGER,Current readings outside acceptable levels.
07/13/2022 13:59:20.134,COM6,1.0,0.00148,-0.00211,0.0007,0.00177,-0.00211,TRIGGER,Current readings outside acceptable levels.
07/13/2022 13:59:21.634,COM6,1.0,0.00087,-0.00249,0.00056,0.00237,-0.00249,TRIGGER,Current readings outside acceptable levels.
